question,sql
Show the times used by climbers to climb mountains in Country Uganda.,SELECT `T1`.`Time` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID` WHERE `T2`.`Country` = `Uganda`
What are the times used by climbers who climbed mountains in the country of Uganda?,SELECT `T1`.`Time` FROM `climber` AS `T1` JOIN `mountain` AS `T2` ON `T1`.`Mountain_ID` = `T2`.`Mountain_ID` WHERE `T2`.`Country` = `Uganda`
Please show the countries and the number of climbers from each country.,"SELECT `Country`, COUNT(*) FROM `climber` GROUP BY `Country`"
How many climbers are from each country?,"SELECT `Country`, COUNT(*) FROM `climber` GROUP BY `Country`"
List the countries that have more than one mountain.,SELECT `Country` FROM `mountain` GROUP BY `Country` HAVING COUNT(*) > 1
Which countries have more than one mountain?,SELECT `Country` FROM `mountain` GROUP BY `Country` HAVING COUNT(*) > 1
List the names of mountains that do not have any climber.,SELECT `Name` FROM `mountain` WHERE NOT `Mountain_ID` IN (SELECT `Mountain_ID` FROM `climber`)
What are the names of countains that no climber has climbed?,SELECT `Name` FROM `mountain` WHERE NOT `Mountain_ID` IN (SELECT `Mountain_ID` FROM `climber`)
Show the countries that have mountains with height more than 5600 stories and mountains with height less than 5200.,SELECT `Country` FROM `mountain` WHERE `Height` > 5600 INTERSECT SELECT `Country` FROM `mountain` WHERE `Height` < 5200
What are the countries that have both mountains that are higher than 5600 and lower than 5200?,SELECT `Country` FROM `mountain` WHERE `Height` > 5600 INTERSECT SELECT `Country` FROM `mountain` WHERE `Height` < 5200
Show the range that has the most number of mountains.,SELECT `Range` FROM `mountain` GROUP BY `Range` ORDER BY COUNT(*) DESC LIMIT 1
Which range contains the most mountains?,SELECT `Range` FROM `mountain` GROUP BY `Range` ORDER BY COUNT(*) DESC LIMIT 1
Show the names of mountains with height more than 5000 or prominence more than 1000.,SELECT `Name` FROM `mountain` WHERE `Height` > 5000 OR `Prominence` > 1000
What are the names of mountains that have a height of over 5000 or a prominence of over 1000?,SELECT `Name` FROM `mountain` WHERE `Height` > 5000 OR `Prominence` > 1000
