question,sql
"How many degrees were conferred in ""San Jose State University"" in 2000?",SELECT `degrees` FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Jose State University' AND `t2`.`year` = 2000
How many degrees were conferred at San Jose State University in 2000?,SELECT `degrees` FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Jose State University' AND `t2`.`year` = 2000
"What are the degrees conferred in ""San Francisco State University"" in 2001.",SELECT `degrees` FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Francisco State University' AND `t2`.`year` = 2001
What degrees were conferred in San Francisco State University in the year 2001?,SELECT `degrees` FROM `Campuses` AS `t1` JOIN `degrees` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t1`.`campus` = 'San Francisco State University' AND `t2`.`year` = 2001
How many faculty is there in total in the year of 2002?,SELECT SUM(`faculty`) FROM `faculty` WHERE `YEAR` = 2002
"How many faculty, in total, are there in the year 2002?",SELECT SUM(`faculty`) FROM `faculty` WHERE `YEAR` = 2002
"What is the number of faculty lines in campus ""Long Beach State University"" in 2002?",SELECT `faculty` FROM `faculty` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2002 AND `t2`.`campus` = 'Long Beach State University'
What is the number of faculty at Long Beach State University in 2002?,SELECT `faculty` FROM `faculty` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2002 AND `t2`.`campus` = 'Long Beach State University'
"How many faculty lines are there in ""San Francisco State University"" in year 2004?",SELECT `faculty` FROM `faculty` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2004 AND `t2`.`campus` = 'San Francisco State University'
How many faculty lines are there at San Francisco State University in 2004?,SELECT `faculty` FROM `faculty` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2004 AND `t2`.`campus` = 'San Francisco State University'
List the campus that have between 600 and 1000 faculty lines in year 2004.,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`faculty` >= 600 AND `t2`.`faculty` <= 1000 AND `t1`.`year` = 2004
What are the campuses that had between 600 and 1000 faculty members in 2004?,SELECT `t1`.`campus` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` WHERE `t2`.`faculty` >= 600 AND `t2`.`faculty` <= 1000 AND `t1`.`year` = 2004
How many faculty lines are there in the university that conferred the most number of degrees in year 2002?,SELECT `t2`.`faculty` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` JOIN `degrees` AS `t3` ON `t1`.`id` = `t3`.`campus` AND `t2`.`year` = `t3`.`year` WHERE `t2`.`year` = 2002 ORDER BY `t3`.`degrees` DESC LIMIT 1
How many faculty members did the university that conferred the most degrees in 2002 have?,SELECT `t2`.`faculty` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` JOIN `degrees` AS `t3` ON `t1`.`id` = `t3`.`campus` AND `t2`.`year` = `t3`.`year` WHERE `t2`.`year` = 2002 ORDER BY `t3`.`degrees` DESC LIMIT 1
How many faculty lines are there in the university that conferred the least number of degrees in year 2001?,SELECT `t2`.`faculty` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` JOIN `degrees` AS `t3` ON `t1`.`id` = `t3`.`campus` AND `t2`.`year` = `t3`.`year` WHERE `t2`.`year` = 2001 ORDER BY `t3`.`degrees` LIMIT 1
How many faculty members are at the university that gave the least number of degrees in 2001?,SELECT `t2`.`faculty` FROM `Campuses` AS `t1` JOIN `faculty` AS `t2` ON `t1`.`id` = `t2`.`campus` JOIN `degrees` AS `t3` ON `t1`.`id` = `t3`.`campus` AND `t2`.`year` = `t3`.`year` WHERE `t2`.`year` = 2001 ORDER BY `t3`.`degrees` LIMIT 1
"How many undergraduates are there in ""San Jose State University"" in year 2004?",SELECT SUM(`t1`.`undergraduate`) FROM `discipline_enrollments` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2004 AND `t2`.`campus` = 'San Jose State University'
How many undergraduates are there at San Jose State,SELECT SUM(`t1`.`undergraduate`) FROM `discipline_enrollments` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2004 AND `t2`.`campus` = 'San Jose State University'
"What is the number of graduates in ""San Francisco State University"" in year 2004?",SELECT SUM(`t1`.`graduate`) FROM `discipline_enrollments` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2004 AND `t2`.`campus` = 'San Francisco State University'
How many people graduated from San Francisco State University in 2004?,SELECT SUM(`t1`.`graduate`) FROM `discipline_enrollments` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t1`.`year` = 2004 AND `t2`.`campus` = 'San Francisco State University'
"What is the campus fee of ""San Francisco State University"" in year 2000?",SELECT `t1`.`campusfee` FROM `csu_fees` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t2`.`campus` = 'San Francisco State University' AND `t1`.`year` = 2000
"In the year 2000, what is the campus fee for San Francisco State University?",SELECT `t1`.`campusfee` FROM `csu_fees` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t2`.`campus` = 'San Francisco State University' AND `t1`.`year` = 2000
"Find the campus fee of ""San Jose State University"" in year 2000.",SELECT `t1`.`campusfee` FROM `csu_fees` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t2`.`campus` = 'San Jose State University' AND `t1`.`year` = 2000
What is the campus fee in the year 2000 for San Jose State University?,SELECT `t1`.`campusfee` FROM `csu_fees` AS `t1` JOIN `Campuses` AS `t2` ON `t1`.`campus` = `t2`.`id` WHERE `t2`.`campus` = 'San Jose State University' AND `t1`.`year` = 2000
How many CSU campuses are there?,SELECT COUNT(*) FROM `Campuses`
What is the total number of campuses?,SELECT COUNT(*) FROM `Campuses`
